,car_make,car_model,car_year,car_kilometer,car_price
0,Emgrand,EC7,2014,120000,145000
1,Audi,A6,2019,67000,2100000
2,BMW,X1,2011,152000,550000
3,Kia,Cerato,2021,50000,520000
4,Nissan,Sunny,2016,83000,275000
5,Jeep,GrandCherokee,2014,142000,975000
6,Jeep,GrandCherokee,2016,96000,1280000
7,Mitsubishi,EclipseCross,2018,72000,595000
8,Seat,Leon,2021,17000,840000
9,Mini,Countryman,2015,55000,685000
10,MG,5,2021,21000,450000
11,Hyundai,Elantra,2009,152000,310000
12,Ssang,YongTivoli,2016,106000,380000
13,Volkswagen,Tiguan,2020,27000,1050000
14,Nissan,Sentra,2017,179000,290000
15,Suzuki,Swift,2022,75000,370000
16,Seat,Arona,2021,39000,670000
17,Mitsubishi,Pajero,2014,87500,1050000
18,BMW,320,2013,160000,589000
19,Geely,Emgrand7,2017,89000,169000
20,Toyota,Corolla,2015,99000,389000
21,Hyundai,ElantraHD,2020,55000,349000
22,Fiat,Tipo,2021,63000,389000
23,Mercedes,C180,2019,79000,1350000
24,Skoda,Superb,2021,64000,990000
25,Opel,Grandland,2020,63000,750000
26,MG,ZS,2020,115000,460000
27,Nissan,Sentra,2019,90000,410000
28,Land,RoverRangeRover,2019,105000,2950000
29,Mitsubishi,LancerEXShark,2016,65000,440000
30,Hyundai,ElantraCN7,2021,36000,650000
31,Kia,Sportage,2018,192000,775000
32,Skoda,Kodiaq,2020,65000,925000
33,Nissan,Juke,2015,89000,349000
34,Toyota,Corolla,2021,99000,610000
35,Cupra,Formentor,2022,30,1600000
36,Toyota,Yaris,2014,135000,310000
37,Fiat,Doblo,2015,92000,180000
38,Daihatsu,Granmax,2014,140000,165000
39,Byd,F3,2022,500,345000
40,Kia,Cerato,2016,108000,450000
41,Chery,Tiggo7,2021,70000,490000
42,Peugeot,301,2015,137000,275000
43,Land,RoverDefender,2021,8000,1000000
44,Mercedes,C200,2019,90000,320000
45,Mercedes,S500,2021,2600,1500000
46,Mercedes,CLA180,2022,10,300000
47,Kia,Sportage,2022,107,1295000
48,Hyundai,IX35,2015,120000,485000
49,Mercedes,GLC200,2022,15000,2300000
50,Kia,Cerato,2013,105000,410000
51,BMW,X3,2017,85000,1200000
52,Nissan,Juke,2014,165000,355000
53,Toyota,Corolla,2015,135000,465000
54,Fiat,Tipo,2019,33000,345000
55,Audi,A3,2018,139000,760000
56,Mitsubishi,LancerEXShark,2015,98000,375000
57,Chevrolet,Cavalier,2009,66000,280000
58,Nissan,Sunny,2022,98000,352000
59,BMW,320,2020,46000,1690000
60,Hyundai,Creta,2017,115000,457000
61,Jeep,Renegade,2022,10000,930000
62,BMW,X5,2018,100000,1900000
63,Renault,Sandero,2011,200000,150000
64,Kia,Rio,2019,90000,385000
65,BMW,318,2018,55000,880000
66,Renault,Kadjar,2018,123000,480000
67,Nissan,Sunny,2021,39000,370000
68,Kia,Sorento,2012,154000,500000
69,Opel,Insignia,2015,93000,500000
70,Toyota,Prado,2007,145000,550000
71,Hyundai,Tucson,2019,94213,790000
72,Mazda,3,2015,150000,380000
73,Hyundai,Tucson,2018,63364,725000
74,Toyota,Belta,2022,1174,525000
75,Toyota,Belta,2022,263,525000
76,Chery,Arrizo5,2022,28991,375000
77,Chevrolet,Optra,2021,61480,345000
78,Chery,Arrizo5,2022,21552,395000
79,Chery,Arrizo5,2022,11191,395000
80,Jeep,Wrangler,2010,118886,600000
81,Chery,Arrizo5,2022,43698,390000
82,Chevrolet,Optra,2023,53,410000
83,Byd,F3,2020,167465,225000
84,Chevrolet,Optra,2023,31,410000
85,Chevrolet,Optra,2023,32,410000
86,MG,ZS,2022,10400,520000
87,Suzuki,SPresso,2021,57575,225000
88,Nissan,Sunny,2020,44500,365000
89,Suzuki,SPresso,2022,14860,240000
90,Byd,L3,2022,5200,350000
91,Hyundai,Elantra,2019,44150,600000
92,Jeep,GrandCherokee,2011,150000,700000
93,Hyundai,Tucson,2019,49000,725000
94,Toyota,Corolla,2021,19000,620000
95,Hyundai,AccentHCI,2019,21000,440000
96,Chevrolet,Cruze,2016,40000,410000
97,Kia,Sportage,2022,100,1050000
98,Nissan,Sentra,2018,120000,375000
99,BMW,316,2015,180000,600000
100,Speranza,Tiggo,2011,280000,175000
101,Skoda,Kodiaq,2021,5000,1450000
102,Chevrolet,Optra,2008,135000,230000
103,Chevrolet,Optra,2022,29000,349000
104,Hyundai,AccentRB,2021,59000,395000
105,Hyundai,AccentRB,2014,166000,275000
106,Peugeot,405,1996,199999,60000
107,Renault,Fluence,2016,135000,335000
108,Nissan,Sunny,2020,50000,345000
109,Nissan,Sunny,2014,135000,250000
110,Hyundai,Solaris,2016,90000,320000
111,BMW,320,2016,120000,810000
112,Kia,Cerato,2015,99000,450000
113,MG,HS,2021,37000,660000
114,Mercedes,E200,2016,110000,1050000
115,Chery,Arrizo5,2020,70000,325000
116,Opel,Astra,2015,170000,320000
117,Chevrolet,Malibu,2019,75000,580000
118,BMW,520,2015,125000,900000
119,BMW,X5,2018,76000,1850000
120,Mercedes,E200,2007,330000,510000
121,Mitsubishi,LancerEXShark,2017,95000,335000
122,Hyundai,ElantraAD,2018,113000,450000
123,Opel,Astra,2021,60000,447000
124,Jeep,Renegade,2017,106000,590000
125,Daewoo,Juliet,2001,200000,130000
126,Chery,Tiggo7,2023,250,600000
127,Mitsubishi,LancerEXShark,2016,187000,380000
128,Mitsubishi,LancerEXShark,2016,120000,325000
129,Hyundai,TucsonTurboGDI,2019,105000,750000
130,Suzuki,SPresso,2021,70000,62000
131,Renault,Megane,2021,43000,198000
132,Audi,A5,2020,39000,365000
133,BMW,520,2014,85000,920000
134,Citroën,C4GrandPicasso,2020,58000,720000
135,Kia,Cerato,2016,68000,485000
136,Kia,Carens,2014,96000,458000
137,Opel,Astra,2012,150000,260000
138,Mercedes,E200AMG,2020,17000,480000
139,BMW,523,2007,297000,420000
140,Kia,Sportage,2016,90000,660000
141,Kia,Picanto,2014,90000,310000
142,Fiat,Tipo,2020,67000,355000
143,Subaru,Impreza,2005,80000,220000
144,Peugeot,407,2008,200000,155000
145,BMW,528,2014,105000,880000
146,BMW,X3,2019,54000,1770000
147,Skoda,Superb,2021,69000,1180000
148,Chevrolet,Optra,2019,83000,278000
149,Hyundai,ElantraCN7,2022,18000,635000
150,Hyundai,Tucson,2021,35000,910000
151,Peugeot,3008,2020,89000,865000
152,Kia,GrandCerato,2022,4000,645000
153,Mercedes,E300,2021,16000,3000000
154,Volkswagen,ID4,2022,0,1400000
155,Kia,K3,2022,0,980000
156,Chevrolet,Optra,2013,100000,245000
157,Toyota,Corolla,2018,150000,520000
158,BMW,X1,2012,140000,570000
159,Speranza,Tiggo,2017,142000,310000
160,Hyundai,Tucson,2018,145000,750000
161,Jac,J7,2022,2000,525000
162,Kia,Rio,2014,111000,330000
163,Nissan,Sunny,2021,8000,370000
164,Citroën,C5,2015,150000,390000
165,Kia,K3,2014,110000,460000
166,Fiat,Tipo,2022,19000,575000
167,Jac,J2,2017,160000,250000
168,Kia,Carens,2017,117000,475000
169,MG,6,2021,62000,560000
170,Hyundai,ElantraCN7,2021,50000,670000
171,Kia,Sportage,2018,89000,750000
172,Mitsubishi,LancerPuma,2012,177000,300000
173,Mazda,3,2010,190000,235000
174,Chevrolet,Lanos,2013,157000,145000
175,Hyundai,ElantraHD,2020,98000,385000
176,Volkswagen,Passat,2006,275000,268000
177,Renault,Duster,2020,99000,405000
178,Nissan,Sunny,2022,18000,320000
179,Opel,Meriva,2016,114000,275000
180,Hyundai,AccentRB,2013,130000,270000
181,Nissan,Sunny,2022,48000,360000
182,Hyundai,ElantraCN7,2021,32500,570000
183,Kia,Cerato,2013,118000,370000
184,Peugeot,3008,2011,120000,329000
185,Nissan,Sunny,2017,80000,275000
186,Kia,Sportage,2021,37000,850000
187,Changan,Benni,2013,61000,110000
188,BMW,330,2009,140000,550000
189,Chevrolet,Captiva,2012,148000,390000
190,Kia,Picanto,2015,81000,285000
191,Mercedes,GLC300,2022,5000,3250000
192,Mercedes,S450,2020,22000,4800000
193,Fiat,Tipo,2021,25000,520000
194,Nissan,Pathfinder,2015,133000,925000
195,Renault,Sandero,2019,27000,58000
196,Mitsubishi,LancerPuma,2013,300000,280000
197,Skoda,OctaviaA8,2022,4700,1000000
198,Kia,Carens,2018,107000,595000
199,Jeep,Cherokee,2008,1111,370000
200,Geely,Emgrand7,2014,124000,170000
201,Toyota,Corolla,2008,158000,285000
202,Opel,Mokka,2023,100,850000
203,Skoda,Fabia,2018,93000,375000
204,BMW,X5,2016,118000,1450000
205,Jeep,GrandCherokee,2018,90000,1600000
206,Hyundai,Getz,2006,120000,169000
207,Nissan,Sunny,2022,22000,349000
208,Kia,K3,2015,116000,475000
209,Peugeot,5008,2011,97000,350000
210,BMW,750,2011,63000,950000
211,Nissan,Sunny,2020,77000,355000
212,Hyundai,IX35,2015,80000,545000
213,Mercedes,C180,2018,35000,1350000
214,Kia,Sportage,2015,131000,635000
215,Chevrolet,Aveo,2019,72000,275000
216,Toyota,Corolla,2022,16000,730000
217,Nissan,Qashqai,2020,52000,570000
218,Audi,A3,2013,97000,575000
219,Renault,Megane,2022,12150,635000
220,Volkswagen,Passat,2019,85000,820000
221,Kia,Cerato,2016,86000,450000
222,Renault,Duster,2016,270000,275000
223,Kia,Sportage,2019,87000,810000
224,Mitsubishi,LancerPuma,2012,103000,310000
225,Volkswagen,Golf7,2015,145000,585000
226,Opel,Astra,2020,35000,400000
227,Seat,Ibiza,2020,70000,575000
228,Renault,Duster,2018,120000,410000
229,Jeep,GrandCherokee,2001,300000,280000
230,Hyundai,Tucson,2019,63000,850000
231,Hyundai,ElantraHD,2020,93000,398000
232,Chery,Tiggo3,2022,17000,425000
233,Hyundai,ElantraAD,2020,67000,510000
234,Nissan,Qashqai,2017,160000,440000
235,Jeep,Cherokee,2018,80000,450000
236,Chevrolet,Cruze,2016,200000,110000
237,Peugeot,3008,2020,100000,250000
238,Citroën,C5Aircross,2021,33000,840000
239,Suzuki,Swift,2021,49000,385000
240,Nissan,Sunny,2020,23000,320000
241,Mercedes,GLC300,2022,0,3500000
242,Mercedes,E300,2022,0,3200000
243,Toyota,Corolla,2011,200000,410000
244,Kia,Sportage,2018,110000,730000
245,Toyota,Corolla,2019,30000,610000
246,BMW,X6,2010,170000,1100000
247,MG,6,2022,40000,550000
248,Jac,JS4,2021,80000,450000
249,Kia,Xceed,2022,15,825000
250,Renault,Megane,2019,100000,430000
251,Nissan,Sentra,2019,40000,379000
252,MG,Rx5,2019,65000,525000
253,Fiat,Tipo,2022,10000,645000
254,Skoda,OctaviaA4,2002,180000,218000
255,Chevrolet,Optra,2018,130000,290000
256,Kia,Picanto,2016,140000,345000
257,Nissan,Sunny,2020,60000,340000
258,Volkswagen,ID4,2022,0,1300000
259,Toyota,Corolla,2021,8000,850000
260,Kia,Xceed,2022,0,790000
261,Suzuki,Vitara,1999,250000,135000
262,Kia,Cerato,2010,179000,282000
263,Peugeot,5008,2021,18500,1150000
264,Nissan,Sunny,2009,136000,218000
265,Renault,Clio,2002,204238,75000
266,Kia,Spectra,2003,160000,110000
267,Chevrolet,Aveo,2015,133000,240000
268,Jetour,X70Plus,2022,4500,650000
269,Renault,Kadjar,2017,130000,540000
270,Nissan,Sunny,2008,250000,180000
271,Kia,Cerato,2006,141000,238000
272,Chery,Tiggo3,2019,50523,330000
273,Renault,Duster,2016,109000,250000
274,Geely,Emgrand7,2015,150000,150000
275,MG,HS,2022,3500,720000
276,Opel,Vectra,1995,50000,48500
277,Kia,Pride,1996,165000,48000
278,Toyota,Corolla,2022,25000,725000
279,Hyundai,Atos,2004,60000,99000
280,Chery,Tiggo7pro,2022,15000,740000
281,Hyundai,Excel,1997,1300,62000
282,Nissan,Sunny,2023,1500,400000
283,Kia,Sportage,2021,29000,900000
284,Kia,Soul,2013,125000,330000
285,Skoda,OctaviaA4,2000,250000,200000
286,Kia,Cerato,2014,136000,410000
287,Kia,GrandCerato,2022,30000,730000
288,Chevrolet,Optra,2006,155000,125000
289,Chery,Arrizo5,2023,4800,355000
290,Byd,F3,2021,135805,220000
291,Kia,Cerato,2014,240000,370000
292,Suzuki,Van,2010,100000,100000
293,Nissan,Sunny,2023,14,365000
294,Opel,Insignia,2015,245000,480000
295,Mitsubishi,Lancer,2015,131000,385000
296,Seat,Ibiza,2022,27000,660000
297,Toyota,Yaris,2010,120000,235000
298,Kia,Soul,2015,90000,550000
299,Mercedes,S300,1989,240000,135000
300,Jac,S3,2018,43000,340000
301,Mercedes,CLA180,2020,100000,1200000
302,Renault,SanderoStepWay,2016,87000,88000
303,Mazda,3,2008,180000,250000
304,Volkswagen,Passat,2002,190000,180000
305,Opel,Vectra,1997,216000,130000
306,Suzuki,SwiftDzire,2022,33000,350000
307,Mitsubishi,Lancer,2001,260000,140000
308,Nissan,Sunny,2023,1500,500000
309,Volkswagen,Jetta,2007,100000,280000
310,Hyundai,Accent,2009,157000,240000
311,Speranza,A620,2007,155000,145000
312,Geely,Pandino,2014,27000,135000
313,Renault,Logan,2016,180000,185000
314,Chery,Tiggo7,2021,22300,500000
315,Hyundai,ElantraCN7,2022,14000,590000
316,Toyota,Corolla,1999,320000,125000
317,BMW,X3,2017,40000,1320000
318,Mitsubishi,LancerEXShark,2018,13000,480000
319,Hyundai,Verna,2009,100000,110000
320,BMW,X1,2014,160000,590000
321,BMW,316,2014,130000,570000
322,Ford,Focus,2018,110000,500000
323,Mitsubishi,LancerPuma,2013,250000,280000
324,MG,Rx5,2021,17000,635000
325,Daewoo,Nubira2,2000,39000,125000
326,Jeep,Komodo,2009,200000,165000
327,Byd,F3,2017,175000,200000
328,Renault,SanderoStepWay,2021,40000,420000
329,Mitsubishi,LancerPuma,2013,200000,275000
330,BMW,X1,2019,81000,950000
331,Fiat,Ritmo,1983,45600,25000
332,Hyundai,ElantraCN7,2022,15000,685000
333,Jac,J7,2022,10000,525000
334,Suzuki,Swift,1996,70000,40000
335,Chevrolet,Optra,2020,69000,310000
336,Fiat,Punto,2010,110000,225000
337,Opel,Astra,2000,260000,120000
338,Peugeot,301,2022,10700,450000
339,Opel,Insignia,2015,152000,550000
340,Fiat,Tipo,2019,50000,500000
341,Honda,Civic,1982,140000,22000
342,Nissan,Sentra,2022,70000,260000
343,Mazda,121,1997,190000,40000
344,Fiat,Tipo,2020,130000,320000
345,Daewoo,Juliet,1999,190000,125000
346,Mercedes,200,1977,29000,70000
347,Peugeot,5008,2014,160000,330000
348,Fiat,Tipo,2020,120000,350000
349,Toyota,Corolla,2007,100000,5000
350,Brilliance,FRVCross,2013,200000,190000
351,Speranza,A113,2012,60000,100000
352,Daewoo,Lanos2,2001,150000,126000
353,Brilliance,Galena,2007,142600,180000
354,Toyota,Corolla,1998,228000,120000
355,Citroën,C3Aircross,2021,39000,448000
356,Opel,Corsa,2004,280000,70000
357,Daewoo,Lanos2,2008,198000,130000
358,Toyota,Yaris,2015,200000,325000
359,Mitsubishi,Lancer,2004,199000,150000
360,Hyundai,Accent,2011,100000,240000
361,Nissan,Sunny,2008,165000,189000
362,Renault,Kadjar,2018,190000,450000
363,Brilliance,FSV,2011,70000,140000
364,Chery,Tiggo7,2023,15,550000
365,Kia,Sportage,2020,40000,1050000
